name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr17	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr18	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	yes
Gr19	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	yes	no
Gr20	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	yes	no
Rst01	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Rst02	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Rst03	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Gr11	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr12	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr13	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr14	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	yes
Gr15	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	yes	no
Rst04	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Rst05	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Rst06	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	yes	no
Gr06	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr07	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr08	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr09	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr10	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	yes	no
Riv01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr01	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr02	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr03	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr04	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr05	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Riv04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
